timestamp,id,action,msg
2025-08-18T12:01:15.000Z,CH-001,MeterValues,"[2,""meter-7e1de"",""MeterValues"",{""connectorId"":1,""transactionId"":5012,""meterValue"":[{""timestamp"":""2025-08-18T12:01:15.000Z"",""sampledValue"":[{""value"":""2300000"",""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}]"
2025-08-18T12:01:15.100Z,CH-001,,"[3,""meter-7e1de"",{}]"
2025-08-18T12:02:05.000Z,CH-001,Heartbeat,"[2,""hb-6c533"",""Heartbeat"",{}]"
2025-08-18T12:02:05.030Z,CH-001,,"[3,""hb-6c533"",{""currentTime"":""2025-08-18T12:02:05.000Z""}]"
2025-08-18T12:02:15.000Z,CH-001,StopTransaction,"[2,""stop-20f7e"",""StopTransaction"",{""transactionId"":5012,""meterStop"":2300171,""timestamp"":""2025-08-18T12:02:15.000Z"",""reason"":""EVDisconnected"",""transactionData"":[{""timestamp"":""2025-08-18T12:01:15.000Z"",""sampledValue"":[{""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300000"",""unit"":""Wh""}]},{""timestamp"":""2025-08-18T12:02:15.000Z"",""sampledValue"":[{""context"":""Transaction.End"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300171"",""unit"":""Wh""}]}]}]"
2025-08-18T12:02:15.100Z,CH-001,,"[3,""stop-20f7e"",{}]"
2025-08-18T12:02:16.000Z,CH-001,StatusNotification,"[2,""notif-db635"",""StatusNotification"",{""connectorId"":1,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:02:16.000Z""}]"
2025-08-18T12:02:16.040Z,CH-001,,"[3,""notif-db635"",{}]"
2025-08-18T12:03:05.000Z,CH-001,Heartbeat,"[2,""hb-8ba0a"",""Heartbeat"",{}]"
2025-08-18T12:03:05.030Z,CH-001,,"[3,""hb-8ba0a"",{""currentTime"":""2025-08-18T12:03:05.000Z""}]"
2025-08-18T12:03:35.000Z,CH-001,StatusNotification,"[2,""notif-f85fb"",""StatusNotification"",{""connectorId"":1,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:03:35.000Z""}]"
2025-08-18T12:03:35.040Z,CH-001,,"[3,""notif-f85fb"",{}]"
2025-08-18T12:03:36.000Z,CH-001,StatusNotification,"[2,""notif-403b9"",""StatusNotification"",{""connectorId"":1,""status"":""Faulted"",""errorCode"":""ConnectorLockFailure"",""info"":""Latch could not engage"",""timestamp"":""2025-08-18T12:03:36.000Z""}]"
2025-08-18T12:03:36.100Z,CH-001,,"[3,""notif-403b9"",{}]"
2025-08-18T12:04:05.000Z,CH-001,Heartbeat,"[2,""hb-575b6"",""Heartbeat"",{}]"
2025-08-18T12:04:05.030Z,CH-001,,"[3,""hb-575b6"",{""currentTime"":""2025-08-18T12:04:05.000Z""}]"
2025-08-18T12:05:05.000Z,CH-001,Heartbeat,"[2,""hb-42d99"",""Heartbeat"",{}]"
2025-08-18T12:05:05.000Z,CH-001,StatusNotification,"[2,""notif-e3b7e"",""StatusNotification"",{""connectorId"":1,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:05:05.000Z""}]"
2025-08-18T12:05:05.030Z,CH-001,,"[3,""hb-42d99"",{""currentTime"":""2025-08-18T12:05:05.000Z""}]"
2025-08-18T12:05:05.100Z,CH-001,,"[3,""notif-e3b7e"",{}]"
2025-08-18T12:06:05.000Z,CH-001,Heartbeat,"[2,""hb-39323"",""Heartbeat"",{}]"
2025-08-18T12:06:05.030Z,CH-001,,"[3,""hb-39323"",{""currentTime"":""2025-08-18T12:06:05.000Z""}]"
2025-08-18T12:06:55.000Z,CH-001,StatusNotification,"[2,""notif-da3ae"",""StatusNotification"",{""connectorId"":1,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:06:55.000Z""}]"
2025-08-18T12:06:55.040Z,CH-001,,"[3,""notif-da3ae"",{}]"
2025-08-18T12:06:56.000Z,CH-001,StatusNotification,"[2,""notif-98c8a"",""StatusNotification"",{""connectorId"":1,""status"":""Faulted"",""errorCode"":""ConnectorLockFailure"",""info"":""Latch could not engage"",""timestamp"":""2025-08-18T12:06:56.000Z""}]"
2025-08-18T12:06:56.100Z,CH-001,,"[3,""notif-98c8a"",{}]"
2025-08-18T12:07:05.000Z,CH-001,Heartbeat,"[2,""hb-b226b"",""Heartbeat"",{}]"
2025-08-18T12:07:05.030Z,CH-001,,"[3,""hb-b226b"",{""currentTime"":""2025-08-18T12:07:05.000Z""}]"
2025-08-18T12:08:05.000Z,CH-001,Heartbeat,"[2,""hb-f1855"",""Heartbeat"",{}]"
2025-08-18T12:08:05.030Z,CH-001,,"[3,""hb-f1855"",{""currentTime"":""2025-08-18T12:08:05.000Z""}]"
2025-08-18T12:08:25.000Z,CH-001,StatusNotification,"[2,""notif-c1a1b"",""StatusNotification"",{""connectorId"":1,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:08:25.000Z""}]"
2025-08-18T12:08:25.100Z,CH-001,,"[3,""notif-c1a1b"",{}]"
2025-08-18T12:09:05.000Z,CH-001,Heartbeat,"[2,""hb-73fed"",""Heartbeat"",{}]"
2025-08-18T12:09:05.030Z,CH-001,,"[3,""hb-73fed"",{""currentTime"":""2025-08-18T12:09:05.000Z""}]"
2025-08-18T12:10:05.000Z,CH-001,Heartbeat,"[2,""hb-a20af"",""Heartbeat"",{}]"
2025-08-18T12:10:05.030Z,CH-001,,"[3,""hb-a20af"",{""currentTime"":""2025-08-18T12:10:05.000Z""}]"
2025-08-18T12:10:15.000Z,CH-001,StatusNotification,"[2,""notif-0ce8d"",""StatusNotification"",{""connectorId"":1,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:10:15.000Z""}]"
2025-08-18T12:10:15.040Z,CH-001,,"[3,""notif-0ce8d"",{}]"
2025-08-18T12:10:16.000Z,CH-001,RemoteStartTransaction,"[2,""start-323a3"",""RemoteStartTransaction"",{""connectorId"":1,""idTag"":""ABC323XYZ""}]"
2025-08-18T12:10:16.100Z,CH-001,,"[3,""start-323a3"",{""status"":""Accepted""}]"
2025-08-18T12:10:16.300Z,CH-001,StartTransaction,"[2,""tx-aa0fd"",""StartTransaction"",{""connectorId"":1,""idTag"":""ABC617XYZ"",""timestamp"":""2025-08-18T12:10:16.300Z"",""meterStart"":2300300}]"
2025-08-18T12:10:16.500Z,CH-001,,"[3,""tx-aa0fd"",{""transactionId"":4811,""idTagInfo"":{""status"":""Accepted""}}]"
2025-08-18T12:10:17.000Z,CH-001,StatusNotification,"[2,""notif-419e1"",""StatusNotification"",{""connectorId"":1,""status"":""Charging"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:10:17.000Z""}]"
2025-08-18T12:10:17.040Z,CH-001,,"[3,""notif-419e1"",{}]"
2025-08-18T12:11:05.000Z,CH-001,Heartbeat,"[2,""hb-27065"",""Heartbeat"",{}]"
2025-08-18T12:11:05.030Z,CH-001,,"[3,""hb-27065"",{""currentTime"":""2025-08-18T12:11:05.000Z""}]"
2025-08-18T12:11:15.000Z,CH-001,MeterValues,"[2,""meter-0c1f6"",""MeterValues"",{""connectorId"":1,""transactionId"":4811,""meterValue"":[{""timestamp"":""2025-08-18T12:11:15.000Z"",""sampledValue"":[{""value"":""2300300"",""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}]"
2025-08-18T12:11:15.100Z,CH-001,,"[3,""meter-0c1f6"",{}]"
2025-08-18T12:12:05.000Z,CH-001,Heartbeat,"[2,""hb-af7d4"",""Heartbeat"",{}]"
2025-08-18T12:12:05.030Z,CH-001,,"[3,""hb-af7d4"",{""currentTime"":""2025-08-18T12:12:05.000Z""}]"
2025-08-18T12:12:15.000Z,CH-001,StopTransaction,"[2,""stop-8f540"",""StopTransaction"",{""transactionId"":4811,""meterStop"":2300708,""timestamp"":""2025-08-18T12:12:15.000Z"",""reason"":""EVDisconnected"",""transactionData"":[{""timestamp"":""2025-08-18T12:11:15.000Z"",""sampledValue"":[{""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300300"",""unit"":""Wh""}]},{""timestamp"":""2025-08-18T12:12:15.000Z"",""sampledValue"":[{""context"":""Transaction.End"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300708"",""unit"":""Wh""}]}]}]"
2025-08-18T12:12:15.100Z,CH-001,,"[3,""stop-8f540"",{}]"
2025-08-18T12:12:16.000Z,CH-001,StatusNotification,"[2,""notif-5858b"",""StatusNotification"",{""connectorId"":1,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:12:16.000Z""}]"
2025-08-18T12:12:16.040Z,CH-001,,"[3,""notif-5858b"",{}]"
2025-08-18T12:13:05.000Z,CH-001,Heartbeat,"[2,""hb-bd973"",""Heartbeat"",{}]"
2025-08-18T12:13:05.030Z,CH-001,,"[3,""hb-bd973"",{""currentTime"":""2025-08-18T12:13:05.000Z""}]"
2025-08-18T12:13:35.000Z,CH-001,StatusNotification,"[2,""notif-1efac"",""StatusNotification"",{""connectorId"":1,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:13:35.000Z""}]"
2025-08-18T12:13:35.040Z,CH-001,,"[3,""notif-1efac"",{}]"
2025-08-18T12:13:36.000Z,CH-001,StatusNotification,"[2,""notif-62058"",""StatusNotification"",{""connectorId"":1,""status"":""Faulted"",""errorCode"":""ConnectorLockFailure"",""info"":""Latch could not engage"",""timestamp"":""2025-08-18T12:13:36.000Z""}]"
2025-08-18T12:13:36.100Z,CH-001,,"[3,""notif-62058"",{}]"
2025-08-18T12:14:05.000Z,CH-001,Heartbeat,"[2,""hb-fbe69"",""Heartbeat"",{}]"
2025-08-18T12:14:05.030Z,CH-001,,"[3,""hb-fbe69"",{""currentTime"":""2025-08-18T12:14:05.000Z""}]"
2025-08-18T12:15:05.000Z,CH-001,StatusNotification,"[2,""notif-5b798"",""StatusNotification"",{""connectorId"":1,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:15:05.000Z""}]"
2025-08-18T12:15:05.000Z,CH-001,Heartbeat,"[2,""hb-da738"",""Heartbeat"",{}]"
2025-08-18T12:15:05.030Z,CH-001,,"[3,""hb-da738"",{""currentTime"":""2025-08-18T12:15:05.000Z""}]"
2025-08-18T12:15:05.100Z,CH-001,,"[3,""notif-5b798"",{}]"
2025-08-18T12:16:05.000Z,CH-001,Heartbeat,"[2,""hb-2a169"",""Heartbeat"",{}]"
2025-08-18T12:16:05.030Z,CH-001,,"[3,""hb-2a169"",{""currentTime"":""2025-08-18T12:16:05.000Z""}]"
2025-08-18T12:16:55.000Z,CH-001,StatusNotification,"[2,""notif-ff1ee"",""StatusNotification"",{""connectorId"":4,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:16:55.000Z""}]"
2025-08-18T12:16:55.040Z,CH-001,,"[3,""notif-ff1ee"",{}]"
2025-08-18T12:16:56.000Z,CH-001,RemoteStartTransaction,"[2,""start-1a08a"",""RemoteStartTransaction"",{""connectorId"":4,""idTag"":""ABC703XYZ""}]"
2025-08-18T12:16:56.100Z,CH-001,,"[3,""start-1a08a"",{""status"":""Accepted""}]"
2025-08-18T12:16:56.300Z,CH-001,StartTransaction,"[2,""tx-4267f"",""StartTransaction"",{""connectorId"":4,""idTag"":""ABC928XYZ"",""timestamp"":""2025-08-18T12:16:56.300Z"",""meterStart"":2300500}]"
2025-08-18T12:16:56.500Z,CH-001,,"[3,""tx-4267f"",{""transactionId"":5557,""idTagInfo"":{""status"":""Accepted""}}]"
2025-08-18T12:16:57.000Z,CH-001,StatusNotification,"[2,""notif-7b68b"",""StatusNotification"",{""connectorId"":4,""status"":""Charging"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:16:57.000Z""}]"
2025-08-18T12:16:57.040Z,CH-001,,"[3,""notif-7b68b"",{}]"
2025-08-18T12:17:05.000Z,CH-001,Heartbeat,"[2,""hb-4da98"",""Heartbeat"",{}]"
2025-08-18T12:17:05.030Z,CH-001,,"[3,""hb-4da98"",{""currentTime"":""2025-08-18T12:17:05.000Z""}]"
2025-08-18T12:17:55.000Z,CH-001,MeterValues,"[2,""meter-ed4ec"",""MeterValues"",{""connectorId"":4,""transactionId"":5557,""meterValue"":[{""timestamp"":""2025-08-18T12:17:55.000Z"",""sampledValue"":[{""value"":""2300500"",""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}]"
2025-08-18T12:17:55.100Z,CH-001,,"[3,""meter-ed4ec"",{}]"
2025-08-18T12:18:05.000Z,CH-001,Heartbeat,"[2,""hb-f9ab7"",""Heartbeat"",{}]"
2025-08-18T12:18:05.030Z,CH-001,,"[3,""hb-f9ab7"",{""currentTime"":""2025-08-18T12:18:05.000Z""}]"
2025-08-18T12:18:55.000Z,CH-001,StopTransaction,"[2,""stop-211e6"",""StopTransaction"",{""transactionId"":5557,""meterStop"":2300603,""timestamp"":""2025-08-18T12:18:55.000Z"",""reason"":""EVDisconnected"",""transactionData"":[{""timestamp"":""2025-08-18T12:17:55.000Z"",""sampledValue"":[{""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300500"",""unit"":""Wh""}]},{""timestamp"":""2025-08-18T12:18:55.000Z"",""sampledValue"":[{""context"":""Transaction.End"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300603"",""unit"":""Wh""}]}]}]"
2025-08-18T12:18:55.100Z,CH-001,,"[3,""stop-211e6"",{}]"
2025-08-18T12:18:56.000Z,CH-001,StatusNotification,"[2,""notif-3b309"",""StatusNotification"",{""connectorId"":4,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:18:56.000Z""}]"
2025-08-18T12:18:56.040Z,CH-001,,"[3,""notif-3b309"",{}]"
2025-08-18T12:19:05.000Z,CH-001,Heartbeat,"[2,""hb-d172c"",""Heartbeat"",{}]"
2025-08-18T12:19:05.030Z,CH-001,,"[3,""hb-d172c"",{""currentTime"":""2025-08-18T12:19:05.000Z""}]"
2025-08-18T12:20:05.000Z,CH-001,Heartbeat,"[2,""hb-4df92"",""Heartbeat"",{}]"
2025-08-18T12:20:05.030Z,CH-001,,"[3,""hb-4df92"",{""currentTime"":""2025-08-18T12:20:05.000Z""}]"
2025-08-18T12:20:15.000Z,CH-001,StatusNotification,"[2,""notif-dbfff"",""StatusNotification"",{""connectorId"":2,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:20:15.000Z""}]"
2025-08-18T12:20:15.040Z,CH-001,,"[3,""notif-dbfff"",{}]"
2025-08-18T12:20:16.000Z,CH-001,StatusNotification,"[2,""notif-de5d3"",""StatusNotification"",{""connectorId"":2,""status"":""Faulted"",""errorCode"":""ConnectorLockFailure"",""info"":""Latch could not engage"",""timestamp"":""2025-08-18T12:20:16.000Z""}]"
2025-08-18T12:20:16.100Z,CH-001,,"[3,""notif-de5d3"",{}]"
2025-08-18T12:21:05.000Z,CH-001,Heartbeat,"[2,""hb-c1c17"",""Heartbeat"",{}]"
2025-08-18T12:21:05.030Z,CH-001,,"[3,""hb-c1c17"",{""currentTime"":""2025-08-18T12:21:05.000Z""}]"
2025-08-18T12:21:45.000Z,CH-001,StatusNotification,"[2,""notif-b7b9f"",""StatusNotification"",{""connectorId"":2,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:21:45.000Z""}]"
2025-08-18T12:21:45.100Z,CH-001,,"[3,""notif-b7b9f"",{}]"
2025-08-18T12:22:05.000Z,CH-001,Heartbeat,"[2,""hb-c378c"",""Heartbeat"",{}]"
2025-08-18T12:22:05.030Z,CH-001,,"[3,""hb-c378c"",{""currentTime"":""2025-08-18T12:22:05.000Z""}]"
2025-08-18T12:23:05.000Z,CH-001,Heartbeat,"[2,""hb-43548"",""Heartbeat"",{}]"
2025-08-18T12:23:05.030Z,CH-001,,"[3,""hb-43548"",{""currentTime"":""2025-08-18T12:23:05.000Z""}]"
2025-08-18T12:23:35.000Z,CH-001,StatusNotification,"[2,""notif-ee97d"",""StatusNotification"",{""connectorId"":3,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:23:35.000Z""}]"
2025-08-18T12:23:35.040Z,CH-001,,"[3,""notif-ee97d"",{}]"
2025-08-18T12:23:36.000Z,CH-001,RemoteStartTransaction,"[2,""start-674fb"",""RemoteStartTransaction"",{""connectorId"":3,""idTag"":""ABC320XYZ""}]"
2025-08-18T12:23:36.100Z,CH-001,,"[3,""start-674fb"",{""status"":""Accepted""}]"
2025-08-18T12:23:36.300Z,CH-001,StartTransaction,"[2,""tx-14a9d"",""StartTransaction"",{""connectorId"":3,""idTag"":""ABC204XYZ"",""timestamp"":""2025-08-18T12:23:36.300Z"",""meterStart"":2300700}]"
2025-08-18T12:23:36.500Z,CH-001,,"[3,""tx-14a9d"",{""transactionId"":6514,""idTagInfo"":{""status"":""Accepted""}}]"
2025-08-18T12:23:37.000Z,CH-001,StatusNotification,"[2,""notif-70e43"",""StatusNotification"",{""connectorId"":3,""status"":""Charging"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:23:37.000Z""}]"
2025-08-18T12:23:37.040Z,CH-001,,"[3,""notif-70e43"",{}]"
2025-08-18T12:24:05.000Z,CH-001,Heartbeat,"[2,""hb-95cee"",""Heartbeat"",{}]"
2025-08-18T12:24:05.030Z,CH-001,,"[3,""hb-95cee"",{""currentTime"":""2025-08-18T12:24:05.000Z""}]"
2025-08-18T12:24:35.000Z,CH-001,MeterValues,"[2,""meter-185fc"",""MeterValues"",{""connectorId"":3,""transactionId"":6514,""meterValue"":[{""timestamp"":""2025-08-18T12:24:35.000Z"",""sampledValue"":[{""value"":""2300700"",""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}]"
2025-08-18T12:24:35.100Z,CH-001,,"[3,""meter-185fc"",{}]"
2025-08-18T12:25:05.000Z,CH-001,Heartbeat,"[2,""hb-b31be"",""Heartbeat"",{}]"
2025-08-18T12:25:05.030Z,CH-001,,"[3,""hb-b31be"",{""currentTime"":""2025-08-18T12:25:05.000Z""}]"
2025-08-18T12:25:35.000Z,CH-001,StopTransaction,"[2,""stop-7d19a"",""StopTransaction"",{""transactionId"":6514,""meterStop"":2300847,""timestamp"":""2025-08-18T12:25:35.000Z"",""reason"":""EVDisconnected"",""transactionData"":[{""timestamp"":""2025-08-18T12:24:35.000Z"",""sampledValue"":[{""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300700"",""unit"":""Wh""}]},{""timestamp"":""2025-08-18T12:25:35.000Z"",""sampledValue"":[{""context"":""Transaction.End"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300847"",""unit"":""Wh""}]}]}]"
2025-08-18T12:25:35.100Z,CH-001,,"[3,""stop-7d19a"",{}]"
2025-08-18T12:25:36.000Z,CH-001,StatusNotification,"[2,""notif-987a0"",""StatusNotification"",{""connectorId"":3,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:25:36.000Z""}]"
2025-08-18T12:25:36.040Z,CH-001,,"[3,""notif-987a0"",{}]"
2025-08-18T12:26:05.000Z,CH-001,Heartbeat,"[2,""hb-da455"",""Heartbeat"",{}]"
2025-08-18T12:26:05.030Z,CH-001,,"[3,""hb-da455"",{""currentTime"":""2025-08-18T12:26:05.000Z""}]"
2025-08-18T12:26:55.000Z,CH-001,StatusNotification,"[2,""notif-ff86b"",""StatusNotification"",{""connectorId"":4,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:26:55.000Z""}]"
2025-08-18T12:26:55.040Z,CH-001,,"[3,""notif-ff86b"",{}]"
2025-08-18T12:26:56.000Z,CH-001,RemoteStartTransaction,"[2,""start-38f00"",""RemoteStartTransaction"",{""connectorId"":4,""idTag"":""ABC967XYZ""}]"
2025-08-18T12:26:56.100Z,CH-001,,"[3,""start-38f00"",{""status"":""Accepted""}]"
2025-08-18T12:26:56.300Z,CH-001,StartTransaction,"[2,""tx-abe76"",""StartTransaction"",{""connectorId"":4,""idTag"":""ABC718XYZ"",""timestamp"":""2025-08-18T12:26:56.300Z"",""meterStart"":2300800}]"
2025-08-18T12:26:56.500Z,CH-001,,"[3,""tx-abe76"",{""transactionId"":6635,""idTagInfo"":{""status"":""Accepted""}}]"
2025-08-18T12:26:57.000Z,CH-001,StatusNotification,"[2,""notif-7b2ed"",""StatusNotification"",{""connectorId"":4,""status"":""Charging"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:26:57.000Z""}]"
2025-08-18T12:26:57.040Z,CH-001,,"[3,""notif-7b2ed"",{}]"
2025-08-18T12:27:05.000Z,CH-001,Heartbeat,"[2,""hb-e707f"",""Heartbeat"",{}]"
2025-08-18T12:27:05.030Z,CH-001,,"[3,""hb-e707f"",{""currentTime"":""2025-08-18T12:27:05.000Z""}]"
2025-08-18T12:27:55.000Z,CH-001,MeterValues,"[2,""meter-784ca"",""MeterValues"",{""connectorId"":4,""transactionId"":6635,""meterValue"":[{""timestamp"":""2025-08-18T12:27:55.000Z"",""sampledValue"":[{""value"":""2300800"",""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""unit"":""Wh""}]}]}]"
2025-08-18T12:27:55.100Z,CH-001,,"[3,""meter-784ca"",{}]"
2025-08-18T12:28:05.000Z,CH-001,Heartbeat,"[2,""hb-adffa"",""Heartbeat"",{}]"
2025-08-18T12:28:05.030Z,CH-001,,"[3,""hb-adffa"",{""currentTime"":""2025-08-18T12:28:05.000Z""}]"
2025-08-18T12:28:55.000Z,CH-001,StopTransaction,"[2,""stop-4b2a0"",""StopTransaction"",{""transactionId"":6635,""meterStop"":2301035,""timestamp"":""2025-08-18T12:28:55.000Z"",""reason"":""EVDisconnected"",""transactionData"":[{""timestamp"":""2025-08-18T12:27:55.000Z"",""sampledValue"":[{""context"":""Transaction.Begin"",""measurand"":""Energy.Active.Import.Register"",""value"":""2300800"",""unit"":""Wh""}]},{""timestamp"":""2025-08-18T12:28:55.000Z"",""sampledValue"":[{""context"":""Transaction.End"",""measurand"":""Energy.Active.Import.Register"",""value"":""2301035"",""unit"":""Wh""}]}]}]"
2025-08-18T12:28:55.100Z,CH-001,,"[3,""stop-4b2a0"",{}]"
2025-08-18T12:28:56.000Z,CH-001,StatusNotification,"[2,""notif-67d23"",""StatusNotification"",{""connectorId"":4,""status"":""Available"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:28:56.000Z""}]"
2025-08-18T12:28:56.040Z,CH-001,,"[3,""notif-67d23"",{}]"
2025-08-18T12:29:05.000Z,CH-001,Heartbeat,"[2,""hb-8cac9"",""Heartbeat"",{}]"
2025-08-18T12:29:05.030Z,CH-001,,"[3,""hb-8cac9"",{""currentTime"":""2025-08-18T12:29:05.000Z""}]"
2025-08-18T12:30:05.000Z,CH-001,Heartbeat,"[2,""hb-98ae9"",""Heartbeat"",{}]"
2025-08-18T12:30:05.030Z,CH-001,,"[3,""hb-98ae9"",{""currentTime"":""2025-08-18T12:30:05.000Z""}]"
2025-08-18T12:30:15.000Z,CH-001,StatusNotification,"[2,""notif-98482"",""StatusNotification"",{""connectorId"":1,""status"":""Preparing"",""errorCode"":""NoError"",""timestamp"":""2025-08-18T12:30:15.000Z""}]"
2025-08-18T12:30:15.040Z,CH-001,,"[3,""notif-98482"",{}]"
2025-08-18T12:30:16.000Z,CH-001,StatusNotification,"[2,""notif-bb77a"",""StatusNotification"",{""connectorId"":1,""status"":""Faulted"",""errorCode"":""ConnectorLockFailure"",""info"":""Latch could not engage"",""timestamp"":""2025-08-18T12:30:16.000Z""}]"
2025-08-18T12:30:16.100Z,CH-001,,"[3,""notif-bb77a"",{}]"
